"full_name","country_code","role","season","team","mins_played","xG","goals","xA","assists","xT","xT_from_passes","xT_from_carries","won_dribblings","attempted_dribblings","won_dribblings_ratio","offensive_aero"
Josip Brekalo,HRV,WAM,2023,Fiorentina,654,0.7075885,1,0.667075,,0.4293496,0.1053833,0.3239663,8,17,0.4706,38.8069
Nicolás González,ARG,WAM,2023,Fiorentina,1420,8.0071162,7,2.3132963,2,2.0375037,1.4159989,0.6215048,27,62,0.4355,57.0148
M'Bala Nzola,AGO,FW,2023,Fiorentina,1272,4.6209156,2,1.3409049,2,0.291435,-0.2038267,0.4952617,12,24,0.5000,52.7208
Lucas Beltrán,ARG,FW,2023,Fiorentina,1321,3.3536412,6,1.7048797,1,-0.1746559,-0.0300103,-0.1446456,9,23,0.3913,32.8373
Gino Infantino,ARG,WAM,2023,Fiorentina,78,0.0283398,,0.0210735,,0.010624,0.0051574,0.0054666,3,3,1.0000,43.1893
Riccardo Sottil,ITA,WAM,2023,Fiorentina,833,1.6795804,1,0.7786687,1,0.7496032,0.15541,0.5941932,15,31,0.4839,48.7873
Grégoire Defrel,FRA,FW,2023,Sassuolo,448,0.2598118,,0.8532045,1,0.4466846,0.3488324,0.0978522,1,5,0.2000,27.9473
Armand Laurienté,FRA,WAM,2023,Sassuolo,2300,3.7461904,1,3.759671,4,2.8516821,1.4572687,1.3944134,50,91,0.5495,42.5034
Andrea Pinamonti,ITA,FW,2023,Sassuolo,2373,7.7324772,9,1.2387162,,0.1746731,-0.0016413,0.1763144,12,24,0.5000,52.766
Samuele Mulattieri,ITA,FW,2023,Sassuolo,265,1.0055961,,0.3471317,,0.2480109,0.0764228,0.1715881,5,10,0.5000,48.9049
Emil Ceïde,NOR,WAM,2023,Sassuolo,130,0.1208342,,0.2948955,,0.2547582,0.1177944,0.1369638,12,19,0.6316,52.2963
Ademola Lookman,NGA,WAM,2023,Atalanta,1317,7.9611762,8,2.8169641,3,2.2511542,1.1185236,1.1326306,26,49,0.5306,41.0056
Gianluca Scamacca,ITA,FW,2023,Atalanta,973,5.1796874,6,1.2315494,3,0.2460429,-0.0368642,0.2829071,14,21,0.6667,65.1756
Charles De Ketelaere,BEL,FW,2023,Atalanta,1579,4.8059263,6,3.5939976,6,1.1984806,1.0636319,0.1348487,31,57,0.5439,68.8626
Luis Muriel,COL,FW,2023,Atalanta,395,1.7074793,2,1.63021,1,0.708199,0.3527542,0.3554448,7,18,0.3889,42.2981
Andrea Belotti,ITA,FW,2023,Roma,674,2.8194475,3,1.166348,2,0.5864546,0.173563,0.4128916,8,15,0.5333,56.3852
Stephan El Shaarawy,ITA,WAM,2023,Roma,1383,1.7026415,3,1.7561345,3,1.3085252,0.5297902,0.778735,17,42,0.4048,54.6943
Antonio Candreva,ITA,WAM,2023,Salernitana,2318,2.842177,5,3.8131069,6,1.9532335,1.5683654,0.3848681,13,28,0.4643,39.0785
Boulaye Dia,SEN,FW,2023,Salernitana,1143,4.0569045,4,0.7452771,,0.8099383,0.0615395,0.7483988,14,42,0.3333,31.118
Gabriel Strefezza,BRA,WAM,2023,Lecce,1118,2.1770823,1,1.0940213,,0.9632045,0.6758397,0.2873648,15,30,0.5000,36.2046
Lameck Banda,ZMB,WAM,2023,Lecce,1284,3.758418,2,1.2822283,4,0.9902834,0.0589389,0.9313445,41,86,0.4767,27.4167
Pontus Almqvist,SWE,WAM,2023,Lecce,1780,2.4405999,2,1.3224165,,1.5628567,0.5053341,1.0575226,34,74,0.4595,46.8859
Rares Burnete,ROU,FW,2023,Lecce,7,0.0,,0.0003386,1,-0.0038111,-0.0068774,0.0030663,,,,
Jeppe Corfitzen,DNK,WAM,2023,Lecce,8,0.0,,0.0003428,,0.0009358,-0.002473,0.0034088,,,,50.0
Federico Di Francesco,ITA,WAM,2023,Lecce,14,0.1230353,1,0.0383586,,0.036058,0.0256029,0.0104551,,1,,
Felipe Anderson,BRA,WAM,2023,Lazio,2155,3.3150568,3,4.6549655,6,2.6414849,1.5914105,1.0500744,34,81,0.4198,34.9835
Mattia Zaccagni,ITA,WAM,2023,Lazio,1588,4.7469664,4,2.344913,,1.7480899,0.4374295,1.3106604,48,80,0.6000,36.5207
Ciro Immobile,ITA,FW,2023,Lazio,1427,9.6151927,6,1.523467,1,-0.1503227,-0.1310342,-0.0192885,6,22,0.2727,44.6026
Valentín Castellanos,ARG,FW,2023,Lazio,1127,5.5345031,4,1.1117214,3,0.1200652,0.1093233,0.0107419,10,29,0.3448,67.6105
Gustav Isaksen,DNK,WAM,2023,Lazio,925,1.7373381,2,2.1222992,1,0.9112986,0.5935254,0.3177732,14,35,0.4000,53.3445
Pedro,ESP,WAM,2023,Lazio,611,1.1697648,1,1.4851947,,0.8233635,0.5466044,0.2767591,11,22,0.5000,30.3846
Beto,PRT,FW,2023,Udinese,74,0.0,,0.032926,,-0.0516404,-0.0111915,-0.0404489,2,3,0.6667,62.5793
Florian Thauvin,FRA,WAM,2023,Udinese,1534,5.1563206,4,3.9135029,3,2.9815815,1.7794776,1.2021039,34,74,0.4595,56.6814
Lorenzo Lucca,ITA,FW,2023,Udinese,1963,6.510965,7,0.4192461,3,-0.3158271,-0.0478723,-0.2679548,8,25,0.3200,61.6029
